Data,Descrição,Valor,Tipo,Categoria,Observações
15/01/2024,Salário,5000.00,Receita,Trabalho,Pagamento mensal
16/01/2024,Supermercado Pão de Açúcar,350.50,Despesa,Alimentação,Compras da semana
17/01/2024,Posto Shell BR-040,120.00,Despesa,Transporte,Combustível
18/01/2024,Freelance Design,800.00,Receita,Trabalho,Projeto cliente ABC
19/01/2024,Aluguel,1200.00,Despesa,Moradia,Apartamento centro
20/01/2024,Internet Vivo,89.90,Despesa,Utilidades,Fibra 200MB
21/01/2024,Farmácia Drogasil,45.80,Despesa,Saúde,Medicamentos
22/01/2024,Netflix,32.90,Despesa,Entretenimento,Assinatura streaming
23/01/2024,Uber,25.50,Despesa,Transporte,Corrida ao shopping
24/01/2024,Dividendos PETR4,120.45,Receita,Investimentos,Dividendos ações
